"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"69","Mozambique","paris-2024","MOZ",34632000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,69,1.18655712204755e-08,5.83168194287516e-09,1.0931571583684e-09,5.85419350706328e-08,NA,NA,NA,NA,NA,NA,0,0.00583168194287516,0.0010931571583684,0.0585419350706328,159
"70","Myanmar","paris-2024","MMR",54500000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,70,8.61540438909413e-09,4.53416972859859e-09,1.08435593374111e-09,3.91561767056025e-08,NA,NA,NA,NA,NA,NA,0,0.00453416972859859,0.00108435593374111,0.0391561767056025,160
"71","Namibia","paris-2024","NAM",3030000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,71,7.47467808197397e-08,2.2944383720672e-08,1.20014220465633e-09,4.58846623975682e-07,NA,NA,NA,NA,NA,NA,0,0.022944383720672,0.00120014220465633,0.458846623975682,161
"72","Nauru","paris-2024","NRU",12000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,72,3.39703847087766e-07,6.84094391982228e-08,1.32823840628201e-09,2.34831475149236e-06,NA,NA,NA,NA,NA,NA,0,0.0684094391982228,0.00132823840628201,2.34831475149236,162
"73","Nepal","paris-2024","NPL",29651000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,73,1.37327730688264e-08,6.5112114607544e-09,1.10545150813226e-09,6.85277940517604e-08,NA,NA,NA,NA,NA,NA,0,0.0065112114607544,0.00110545150813226,0.0685277940517604,163
"74","Nicaragua","paris-2024","NIC",6916000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,74,4.02203235976042e-08,1.42554028141111e-08,1.16260494546789e-09,2.25880626166844e-07,NA,NA,NA,NA,NA,NA,0,0.0142554028141111,0.00116260494546789,0.225880626166844,164
"75","Niger","paris-2024","NER",27032000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,75,1.41411730036442e-08,6.6161011691633e-09,1.10843028910205e-09,7.08856677219712e-08,NA,NA,NA,NA,NA,NA,0,0.0066161011691633,0.00110843028910205,0.0708856677219712,165
"76","Nigeria","paris-2024","NGA",232679000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,76,3.38321373224138e-09,2.39528247046099e-09,1.04142631637667e-09,1.1434699606118e-08,NA,NA,NA,NA,NA,NA,0,0.00239528247046099,0.00104142631637667,0.011434699606118,166
"77","North Macedonia","paris-2024","MKD",1823000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,77,1.05860731565785e-07,3.01156527567384e-08,1.22658735536684e-09,6.49312861524872e-07,NA,NA,NA,NA,NA,NA,0,0.0301156527567384,0.00122658735536684,0.649312861524872,167
"78","Oman","paris-2024","OMN",5282000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,78,4.79750476895671e-08,1.59364026470846e-08,1.19128006616061e-09,2.79336738933989e-07,NA,NA,NA,NA,NA,NA,0,0.0159364026470846,0.00119128006616061,0.279336738933989,168
"79","Palau","paris-2024","PLW",18000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,79,3.18471605620487e-07,6.79907431697428e-08,1.28149529464738e-09,2.15200251184665e-06,NA,NA,NA,NA,NA,NA,0,0.0679907431697428,0.00128149529464738,2.15200251184665,169
"80","Palestine","paris-2024","PSE",5495000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,80,4.77585362075939e-08,1.63002131342435e-08,1.18070568830697e-09,2.77782585491506e-07,NA,NA,NA,NA,NA,NA,0,0.0163002131342435,0.00118070568830697,0.277782585491506,170
"81","Papua New Guinea","paris-2024","PNG",10577000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,81,2.93460460365924e-08,1.15008640548553e-08,1.13972579593115e-09,1.64648153668252e-07,NA,NA,NA,NA,NA,NA,0,0.0115008640548553,0.00113972579593115,0.164648153668252,171
"82","Paraguay","paris-2024","PRY",6929000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,82,3.81678286024218e-08,1.34465308002119e-08,1.15776722787514e-09,2.21012008853613e-07,NA,NA,NA,NA,NA,NA,0,0.0134465308002119,0.00115776722787514,0.221012008853613,172
"83","Rwanda","paris-2024","RWA",14257000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,83,2.23439356365146e-08,9.14278926271646e-09,1.12353541375547e-09,1.17620122373019e-07,NA,NA,NA,NA,NA,NA,0,0.00914278926271646,0.00112353541375547,0.117620122373019,173
"84","Saint Kitts and Nevis","paris-2024","KNA",47000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,84,3.09942677537029e-07,6.50988997327614e-08,1.32397354318438e-09,2.01697741808004e-06,NA,NA,NA,NA,NA,NA,0,0.0650988997327614,0.00132397354318438,2.01697741808004,174
"85","Saint Vincent and the Grenadines","paris-2024","VCT",101000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,85,2.7542976983091e-07,6.42702669708108e-08,1.32938896147451e-09,1.88525744416738e-06,NA,NA,NA,NA,NA,NA,0,0.0642702669708108,0.00132938896147451,1.88525744416738,175
"86","Samoa","paris-2024","WSM",218000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,86,2.48225959241633e-07,5.83745534039451e-08,1.30827974800246e-09,1.57236253011403e-06,NA,NA,NA,NA,NA,NA,0,0.0583745534039451,0.00130827974800246,1.57236253011403,176
